paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,text_for_embedding,age_days
10.1007/978-3-319-52090-2_300304,PG Bag (Personal Gear Bag),Academic research publication titled 'PG Bag (Personal Gear Bag)'.,['Unknown Author'],['Computer Science'],Computer Science,2020-07-29,2020-07-29,https://doi.org/10.1007/978-3-319-52090-2_300304,,book-chapter,Unknown Author,Computer Science,66,"Title: PG Bag (Personal Gear Bag)
Authors: Unknown Author
Categories: Computer Science
Published: 2020-07-29
Summary: Academic research publication titled 'PG Bag (Personal Gear Bag)'.",2199
10.1007/978-981-15-1636-8_42,Mutagenic Effect of Chemicals on Certain Biochemical Parameters in Two Cultivars of Sunflower (Helianthus annuus L.),Academic research publication titled 'Mutagenic Effect of Chemicals on Certain Biochemical Parameters in Two Cultivars of Sunflower (Helianthus annuus L.)'.,"['T. Padmavathi', 'M. Uma Devi', 'B. Prathibha Devi']",['Computer Science'],Computer Science,2020-04-04,2020-04-04,https://doi.org/10.1007/978-981-15-1636-8_42,,book-chapter,"T. Padmavathi, M. Uma Devi, B. Prathibha Devi",Computer Science,156,"Title: Mutagenic Effect of Chemicals on Certain Biochemical Parameters in Two Cultivars of Sunflower (Helianthus annuus L.)
Authors: T. Padmavathi, M. Uma Devi, B. Prathibha Devi
Categories: Computer Science
Published: 2020-04-04
Summary: Academic research publication titled 'Mutagenic Effect of Chemicals on Certain Biochemical Parameters in Two Cultivars of Sunflower (Helianthus annuus L.)'.",2315
10.1007/978-3-030-05784-8_6,Gorbachev’s “New Thinking”: A Proto-Liberal Program for the Soviet Union,Academic research publication titled 'Gorbachev’s “New Thinking”: A Proto-Liberal Program for the Soviet Union'.,['Svetlana Savranskaya'],['Computer Science'],Computer Science,2019-01-01,2019-01-01,https://doi.org/10.1007/978-3-030-05784-8_6,,book-chapter,Svetlana Savranskaya,Computer Science,112,"Title: Gorbachev’s “New Thinking”: A Proto-Liberal Program for the Soviet Union
Authors: Svetlana Savranskaya
Categories: Computer Science
Published: 2019-01-01
Summary: Academic research publication titled 'Gorbachev’s “New Thinking”: A Proto-Liberal Program for the Soviet Union'.",2774
10.1007/978-3-658-17671-6_18-1,Soziale Innovation,Academic research publication titled 'Soziale Innovation'.,"['Jürgen Howaldt', 'Michael Schwarz']",['Computer Science'],Computer Science,2018-11-03,2018-11-03,https://doi.org/10.1007/978-3-658-17671-6_18-1,,book-chapter,"Jürgen Howaldt, Michael Schwarz",Computer Science,58,"Title: Soziale Innovation
Authors: Jürgen Howaldt, Michael Schwarz
Categories: Computer Science
Published: 2018-11-03
Summary: Academic research publication titled 'Soziale Innovation'.",2833
10.1007/978-81-322-2752-6_56,An Improved Content Based Medical Image Retrieval System Using Integrated Steerable Texture Components and User Interactive Feedback Method,Academic research publication titled 'An Improved Content Based Medical Image Retrieval System Using Integrated Steerable Texture Components and User Interactive Feedback Method'.,"['B. Jyothi', 'Y. Madhavee Latha', 'P. G. Krishna Mohan']",['Computer Science'],Computer Science,2016-02-03,2016-02-03,https://doi.org/10.1007/978-81-322-2752-6_56,,book-chapter,"B. Jyothi, Y. Madhavee Latha, P. G. Krishna Mohan",Computer Science,179,"Title: An Improved Content Based Medical Image Retrieval System Using Integrated Steerable Texture Components and User Interactive Feedback Method
Authors: B. Jyothi, Y. Madhavee Latha, P. G. Krishna Mohan
Categories: Computer Science
Published: 2016-02-03
Summary: Academic research publication titled 'An Improved Content Based Medical Image Retrieval System Using Integrated Steerable Texture Components and User Interactive Feedback Method'.",3837
10.1007/978-3-319-19932-0_5,Horizontal Transfers and the New Model of TE-Driven Genome Evolution in Eukaryotes,Academic research publication titled 'Horizontal Transfers and the New Model of TE-Driven Genome Evolution in Eukaryotes'.,"['Moaine El Baidouri', 'Olivier Panaud']",['Computer Science'],Computer Science,2015-07-11,2015-07-11,https://doi.org/10.1007/978-3-319-19932-0_5,,book-chapter,"Moaine El Baidouri, Olivier Panaud",Computer Science,122,"Title: Horizontal Transfers and the New Model of TE-Driven Genome Evolution in Eukaryotes
Authors: Moaine El Baidouri, Olivier Panaud
Categories: Computer Science
Published: 2015-07-11
Summary: Academic research publication titled 'Horizontal Transfers and the New Model of TE-Driven Genome Evolution in Eukaryotes'.",4044
10.1007/978-3-642-33832-8_41,Disturbing Noise Identification and Sound Quality Research on Car Generator,Academic research publication titled 'Disturbing Noise Identification and Sound Quality Research on Car Generator'.,"['Yanfang Hou', 'Guohua Han', 'Yaozhen Zhao', 'Xueying Xu']",['Computer Science'],Computer Science,2012-11-07,2012-11-07,https://doi.org/10.1007/978-3-642-33832-8_41,,book-chapter,"Yanfang Hou, Guohua Han, Yaozhen Zhao, Xueying Xu",Computer Science,115,"Title: Disturbing Noise Identification and Sound Quality Research on Car Generator
Authors: Yanfang Hou, Guohua Han, Yaozhen Zhao, Xueying Xu
Categories: Computer Science
Published: 2012-11-07
Summary: Academic research publication titled 'Disturbing Noise Identification and Sound Quality Research on Car Generator'.",5020
10.1007/978-3-7091-0962-5_19,Immune System,Academic research publication titled 'Immune System'.,['Stefan Feske'],['Computer Science'],Computer Science,2011-12-10,2011-12-10,https://doi.org/10.1007/978-3-7091-0962-5_19,,book-chapter,Stefan Feske,Computer Science,53,"Title: Immune System
Authors: Stefan Feske
Categories: Computer Science
Published: 2011-12-10
Summary: Academic research publication titled 'Immune System'.",5353
10.1057/9780230244870_1,Introduction: Medicine for the Sick Soul,Academic research publication titled 'Introduction: Medicine for the Sick Soul'.,['Sari Kivistö'],['Computer Science'],Computer Science,2009-01-01,2009-01-01,https://doi.org/10.1057/9780230244870_1,,book-chapter,Sari Kivistö,Computer Science,80,"Title: Introduction: Medicine for the Sick Soul
Authors: Sari Kivistö
Categories: Computer Science
Published: 2009-01-01
Summary: Academic research publication titled 'Introduction: Medicine for the Sick Soul'.",6426
10.1007/978-0-387-30160-0_1141,Becke test,Academic research publication titled 'Becke test'.,['Unknown Author'],['Computer Science'],Computer Science,2007-01-01,2007-01-01,https://doi.org/10.1007/978-0-387-30160-0_1141,,book-chapter,Unknown Author,Computer Science,50,"Title: Becke test
Authors: Unknown Author
Categories: Computer Science
Published: 2007-01-01
Summary: Academic research publication titled 'Becke test'.",7157
